weekend_id,airbnb_weekend_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris155,529.4062820393327,Entire home/apt,False,4.0,10.0,100.0,1,0.8832463051313603,0.1848095504074043,2.357,48.864
paris156,357.4424457078945,Entire home/apt,False,2.0,9.0,80.0,0,0.8832305743347776,0.1848218228539546,2.357,48.864
paris157,339.50041942399105,Entire home/apt,False,2.0,9.0,83.0,0,0.8832510281775344,0.1848187563040043,2.357,48.864
paris158,339.50041942399105,Entire home/apt,False,2.0,9.0,95.0,0,0.8832427584032104,0.1848125991373836,2.357,48.864
paris159,405.4431913505453,Entire home/apt,False,3.0,10.0,100.0,1,0.8832473744913911,0.1848043216463049,2.357,48.864
paris160,357.4424457078945,Entire home/apt,False,2.0,6.0,80.0,0,0.8832486127005152,0.1848117954848922,2.357,48.864
paris161,339.50041942399105,Entire home/apt,False,2.0,9.0,85.0,0,0.883252441716496,0.1848017348781371,2.357,48.864
paris162,339.50041942399105,Entire home/apt,False,2.0,10.0,100.0,0,0.8832549545799299,0.1847986059889844,2.357,48.864
paris163,608.1647870258179,Entire home/apt,False,4.0,9.0,97.0,1,3.2648826399713595,0.1366295993498132,2.31541,48.87256
paris164,339.50041942399105,Entire home/apt,False,2.0,10.0,94.0,0,0.8832532927946304,0.1847929888128445,2.357,48.864
paris165,339.50041942399105,Entire home/apt,False,2.0,9.0,90.0,0,0.8832564381459221,0.1847954926683755,2.357,48.864
paris166,320.3933264982757,Private room,False,2.0,10.0,97.0,1,1.1330167567878442,0.2566080688609313,2.3625,48.86447
paris167,596.5141206076988,Entire home/apt,False,2.0,10.0,80.0,0,1.804151129653769,0.4033217813342232,2.32855,48.85948
paris168,413.3656445148663,Entire home/apt,False,2.0,8.0,75.0,0,0.3653599162272471,0.1132471816285037,2.3487400000000003,48.85852
paris169,413.3656445148663,Entire home/apt,False,2.0,8.0,60.0,0,0.4782601108838973,0.1227709267009504,2.3478,48.85937
